id,score_phrase,title,platform,score,genre,editors_choice,release_year,release_month,release_day
138,Great,Skylanders Giants,Xbox 360,8.0,"Action, Adventure",N,2012,10,18
139,Great,Skylanders Giants,Wii,8.0,"Action, Adventure",N,2012,10,18
140,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,Xbox 360,7.5,"Shooter, RPG",N,2012,10,18
141,Great,Devil's Attorney,Android,8.3,Strategy,N,2012,10,17
142,Great,Devil's Attorney,iPhone,8.3,Strategy,N,2012,10,17
143,Okay,Code of Princess,Nintendo 3DS,6.9,"Action, RPG",N,2012,10,17
144,Great,SunFlowers,PlayStation Vita,8.0,Puzzle,N,2012,10,17
145,Bad,007 Legends,Xbox 360,4.5,Action,N,2012,10,16
146,Amazing,Super Hexagon,iPhone,9.0,Action,N,2012,9,19
147,Great,Machinarium,PlayStation 3,8.0,Adventure,N,2012,9,18
148,Great,Final Fantasy Dimensions,iPhone,8.0,RPG,N,2012,9,18
149,Great,They Bleed Pixels,PC,8.2,Platformer,N,2012,9,18
150,Good,Jet Set Radio,PlayStation Vita,7.5,Action,N,2012,9,17
151,Good,Jet Set Radio,PlayStation 3,7.5,Action,N,2012,9,17
152,Good,Jet Set Radio,Xbox 360,7.5,Action,N,2012,9,17
153,Great,Pro Evolution Soccer 2013,Xbox 360,8.5,Sports,Y,2012,9,17
154,Amazing,F1 2012,PC,9.0,Racing,Y,2012,9,17
155,Good,Darksiders II,Xbox 360,7.5,Action,N,2012,8,14
156,Good,Pitfall,iPhone,7.0,Platformer,N,2012,8,13
157,Great,Dust: An Elysian Tail,Xbox 360,8.5,Platformer,N,2012,8,13
158,Great,Hybrid,Xbox 360,8.0,Shooter,N,2012,8,13
159,Mediocre,The Dark Knight Rises,iPhone,5.5,Action,N,2012,8,10
160,Good,10000000,iPhone,7.5,,N,2012,8,9
161,Okay,The Political Machine 2012,PC,6.5,Strategy,N,2012,8,9
162,Amazing,Sound Shapes,PlayStation 3,9.0,Platformer,Y,2012,8,8
163,Amazing,Sound Shapes,PlayStation Vita,9.0,Platformer,Y,2012,8,8
164,Okay,One Piece: Pirate Warriors,PlayStation 3,6.0,Action,N,2012,10,8
165,Great,XCOM: Enemy Unknown,PlayStation 3,8.2,Strategy,N,2012,10,8
166,Amazing,Dishonored,Xbox 360,9.2,Action,Y,2012,10,7
167,Amazing,Dishonored,PC,9.2,Action,Y,2012,10,7
168,Amazing,Dishonored,PlayStation 3,9.2,Action,Y,2012,10,7
169,Good,Angry Birds Trilogy,Nintendo 3DS,7.0,"Puzzle, Action",N,2012,10,6
170,Good,Angry Birds Trilogy,Xbox 360,7.0,"Puzzle, Action",N,2012,10,6
171,Good,Angry Birds Trilogy,PlayStation 3,7.0,"Puzzle, Action",N,2012,10,6
172,Great,Girls Like Robots,iPhone,8.5,Puzzle,N,2012,10,19
173,Bad,Happy Wars,Xbox 360,4.0,Action,N,2012,10,19
174,Bad,007 Legends,PlayStation 3,4.5,Action,N,2012,10,16
175,Amazing,Funky Smugglers,iPhone,9.0,Action,Y,2012,10,16
176,Okay,Colour Bind,PC,6.2,,N,2012,10,15
177,Mediocre,WRC 3 FIA World Rally Championship,Xbox 360,5.0,Racing,N,2012,10,15
178,Mediocre,WRC 3 FIA World Rally Championship,PC,5.0,Racing,N,2012,10,15
179,Mediocre,Retro City Rampage,PlayStation 3,5.3,"Action, Adventure",N,2012,10,15
180,Mediocre,Retro City Rampage,PC,5.3,"Action, Adventure",N,2012,10,15
181,Great,Dance Central 3,Xbox 360,8.0,Music,N,2012,10,15
182,Mediocre,WRC 3 FIA World Rally Championship,PlayStation 3,5.0,Racing,N,2012,10,15
183,Mediocre,Snapshot,PC,5.0,Platformer,N,2012,9,17
184,Amazing,F1 2012,PlayStation 3,9.0,Racing,Y,2012,9,17
185,Great,Pro Evolution Soccer 2013,PlayStation 3,8.5,Sports,Y,2012,9,17
186,Amazing,F1 2012,Xbox 360,9.0,Racing,Y,2012,9,17
187,Great,Pro Evolution Soccer 2013,PC,8.5,Sports,Y,2012,9,17
188,Amazing,Borderlands 2,Xbox 360,9.0,"Shooter, RPG",Y,2012,9,13
189,Amazing,Borderlands 2,PC,9.0,"Shooter, RPG",Y,2012,9,13
190,Great,Joe Danger: The Movie,Xbox 360,8.0,Action,N,2012,9,13
191,Amazing,Borderlands 2,PlayStation 3,9.0,"Shooter, RPG",Y,2012,9,13
192,Amazing,Sound Shapes,PlayStation 4,9.0,Platformer,Y,2012,8,8
193,Amazing,Persona 4 Arena,PlayStation 3,9.0,Fighting,Y,2012,8,7
194,Amazing,Persona 4 Arena,Xbox 360,9.0,Fighting,Y,2012,8,7
195,Bad,Hell Yeah! Wrath of the Dead Rabbit,PC,4.9,Platformer,N,2012,10,4
196,Bad,Hell Yeah! Wrath of the Dead Rabbit,Xbox 360,4.9,Platformer,N,2012,10,4
197,Mediocre,Retro City Rampage,PlayStation Vita,5.3,"Action, Adventure",N,2012,10,15
198,Amazing,The Unfinished Swan,PlayStation 3,9.0,Puzzle,Y,2012,10,14
199,Great,Tokyo Jungle,PlayStation 3,8.0,Adventure,N,2012,9,13
200,Amazing,Halo 4,Xbox 360,9.8,Shooter,Y,2012,11,1
201,Amazing,Halo 4 (Limited Edition),Xbox 360,9.8,Shooter,Y,2012,11,1
202,Good,Zone of the Enders HD Collection,PlayStation 3,7.0,"Action, Compilation",N,2012,11,1
203,Great,Harvest Moon: A New Beginning,Nintendo 3DS,8.3,Adventure,N,2012,11,1
204,Good,Zone of the Enders HD Collection,Xbox 360,7.0,"Action, Compilation",N,2012,11,1
205,Okay,Borderlands Legends,iPhone,6.5,"Action, RPG",N,2012,10,31
206,Okay,Borderlands Legends,iPad,6.5,"Action, RPG",N,2012,10,31
207,Amazing,Okami HD,PlayStation 3,9.4,Adventure,Y,2012,10,30
208,Mediocre,Ragnarok Odyssey,PlayStation Vita,5.0,RPG,N,2012,10,30
209,Okay,Need for Speed Most Wanted,iPhone,6.9,"Racing, Action",N,2012,10,30
210,Good,Pid,Xbox 360,7.8,Platformer,N,2012,10,30
211,Good,Pid,PC,7.8,Platformer,N,2012,10,30
212,Good,Pid,PlayStation 3,7.8,Platformer,N,2012,10,30
213,Amazing,Need for Speed Most Wanted,PlayStation 3,9.0,"Racing, Action",Y,2012,10,30
214,Great,Assassin's Creed III,Xbox 360,8.5,"Action, Adventure",N,2012,10,30
215,Amazing,Need for Speed Most Wanted,Xbox 360,9.0,"Racing, Action",Y,2012,10,30
216,Good,Assassin's Creed III: Liberation,PlayStation Vita,7.2,Action,N,2012,10,30
217,Great,Smart As...,PlayStation Vita,8.5,"Educational, Puzzle",N,2012,10,30
218,Great,Assassin's Creed III,PlayStation 3,8.5,"Action, Adventure",N,2012,10,30
219,Amazing,Need for Speed Most Wanted,PC,9.0,"Racing, Action",Y,2012,10,30
220,Great,WWE '13,PlayStation 3,8.4,Wrestling,N,2012,10,29
221,Okay,Street Fighter x Tekken,PlayStation Vita,6.6,Fighting,N,2012,10,29
222,Great,WWE '13,Xbox 360,8.4,Wrestling,N,2012,10,29
223,Good,Chivalry: Medieval Warfare,PC,7.9,Adventure,N,2012,10,29
224,Good,Sonic Jump,iPhone,7.5,Platformer,N,2012,10,29
225,Mediocre,F1 Race Stars,Xbox 360,5.2,Racing,N,2012,11,13
226,Amazing,Call of Duty: Black Ops II,PC,9.3,Shooter,Y,2012,11,13
227,Mediocre,F1 Race Stars,PlayStation 3,5.2,Racing,N,2012,11,13
228,Mediocre,Midway Arcade Origins,PlayStation 3,5.5,"Action, Compilation",N,2012,11,13
229,Mediocre,Midway Arcade Origins,Xbox 360,5.5,"Action, Compilation",N,2012,11,13
